English, えいご
Japanese, にほんご
time, じかん
sky, そら
dislike, きらい
a little; somewhat, ちょっと
rice ball, おにぎり
umbrella, かさ
tofu, とうふ
manga, まんが
shoes, くつ
north, きた
scissors, はさみ
morning, あさ
summer, なつ
I'm sorry, ごめんなさい
monkey, さる
strong, つよい
weak, よわい
goodbye, さようなら
fast; early, はやい
vegetable stand, やおや
ears, みみ
head, あたま
deep fried foods, てんぷら
snacks, おかし
snake, へび
ticket, きっぷ
clear (weather), はれ
subway, ちかてつ
seat; cough, せき
yen, えん
meat, にく
cat, ねこ
squid, いか
room; bedroom, へや
vegetables, やさい
cheap, やすい
in front of, まえ
Japan (country), にほん
street, みち
green tea, おちゃ
rabbit, うさぎ
basement, ちか
weather, てんき
sweet, あまい
book, ほん
beef, ぎゅうにく
cow, うし
buckwheat noodles, そば
excuse me, すみません
to sleep, ねる
eyes, め
sliced raw fish, さしみ
delicious!, おいしい
horse, うま
one thousand, せん
cold, さむい
deer, しか
hello (on the phone), もしもし
telephone, でんわ
pretty; clean, きれい
spicy, からい
how much, いくら
water, みず
salt, しお
dog, いぬ
money (general), おかね
every day, まいにち
rice; meal, ごはん
friend, ともだち
karate, からて
red, あか
ant, あり
autumn, あき
rain; hard candy, あめ
blue, あお
good, いい
chair, いす
yes, はい
home, うち
arm, うで
up, うえ
plum, うめ
train station, えき
fly, はえ
shrimp, えび
face, かお
big, おおきい
chopsticks, おはし
mandarin orange, みかん
mosquito, か 
umbrella, かさ
inside, なか
snow, ゆき
yellow, きいろ
black, くろ
mouth, くち
bear, くま
spider, くも
bamboo, たけ
pond, いけ
to erase, けす
clock, とけい
help!, たすけて
where?, どこ
here, ここ
child, こども
cousin, いとこ
Mr/Mrs, ~さん
three, さん
white, しろ
legs, あし
insect, むし
pear, なし
sumo, すも
vinegar, す
sushi, すし
squirrel, りす
to like, すき
to do, する
teacher, せんせい
persons back, せなか
there, そこ
that, それ
lie; false, うそ
fun; enjoyable, たのしい
ouch!, いたい
tall; expensive, たかい
one, いち
road, みち
seven, しち
hot, あつい
when, いつ
hand, て
tiger, とら
bird, とり
person, ひと
outside, そと
day before yesterday, おととい
what, なに
name, なまえ
all; everyone, みんな
country, くに
alligator, わに
stuffed animal, ぬいぐるみ
to die, しぬ
to paint; to color, ぬる
swamp; pond, ぬま
chest, むね
fever, ねつ
boat, ふね
glue, のり
throat, のど
thing, もの
drink, のみもの
yesterday, きのう
spring, はる
yes, はい
box, はこ
tooth, は
knee, ひざ
elbow, ひじ
fire, ひ
noon; daytime, ひる
sheep, ひつじ
Mount Fuji, ふじさん
winter, ふゆ
bathtub, おふろ
odd, へん
unskillful, へた
stars, ほし
bones, ほね
thin, ほそい
unpleasant, まずい
narrow, せまい
living room, いま
window, まど
right hand side, みぎ
vacation, やすみ
purple, むらさき
to rest, やすむ
to drink, のむ
to live, すむ
turtle, かめ
fingernail, つめ
peach, もも
always, いつも
finger, ゆび
floor, ゆか
dream, ゆめ
entrance, いりぐち
medicine, くすり
cloudy, くもり
old, ふるい
to walk, あるく
unfair, ずるい
who, だれ
that over there, あれ
happy, うれしい
to insert, いせる
gloves, てぶくろ
um..., あの
now, いま
student, がくせい
language suffix, 〜ご
high school, こうこう
o'clock suffix, ~じ
people suffix, 〜じん
major, せんもん
that's right, そうです
college; university, だいがく
half, はん
number, ばんごう
Korea, かんこく
China, ちゆうごく
science, かがく
anthropology, じんるいがく
polotics, せいじ
literature, ぶんがく
history, れきし
job; occupation, しごと
doctor, いしゃ
office worker, かいしゃいん
housewife, しゅふ
lawyer, べんごし
mother, おかあさん
father, おとうさん
older sister, おねえさん
older brother, おにいさん
younger sister, いもうと
younger brother, おとうと
this one, これ
that one, それ
that one over there, あれ
which one, どれ
this, この
that, その
that over there, あの
which, どの
over there, あそこ
who, だれ
fish, さかな
pork cutlet, とんかつ
bag, かばん
wallet, さいふ  
dictionary, じしょ
bicycle, じてんしゃ
newspaper, しんぶん
pen, ペン
hat, ぼうし
cafe, きっさてん
bank, ぎんこう
library, としょかん
economics, けえざい
welcome to our store, いらっしゃいませ
here it is, 〜お どうぞ
thank you (inf), どうも
movie, えいが
music, おんがく
magazine, ざっし
breakfast, あさごはん
alcohol, おさけ
dinner, ばんごはん
lunch, ひるごはん
house, いえ
tomorrow, あした
today, きょう
at about, ~ごろ
tonight, こんばん
weekend, しょうまつ
Saturday, どようび
Sunday, にちようび
every day, まいにち
every night, まいばん
to go, いく
to go back; return, かえる
to listen, きく
to speak, はなす
to read, よむ
to get up, おきる
to eat, たべる
to see; to watch, みる
to come, くる
to study, べんきょうする
usually, たいてい
sometimes, ときどき
often; much, よく
that's right; let me see, そうですね
but, でも
how about..?, とうですか
shopping, かいもの 
you, あなた
dog, いぬ
souvenir, おみやげ
picture; photo, しゃしん
desk, つくえ
letter, てがみ
temple, おてら
park, こうえん
hospital, ひょういん
bookstore, ほんや
city, まち
a little while ago, さっき
hour suffix, 〜じかん
one hour, いちじかん
last week, せんしゅう
Tuesday, かようび
Wednesday, すいようび
Thursday, もくようび
Friday, きんようび
to meet (a person), あう
there is..., ある
to buy, かう
to write, かく
to take photos, とる
to wait, まつ
to understand, わかる
so; therefore, だから
many; a lot, たくさん
why, どうして
on, うえ
under, した
next, となり
between, あいだ
Monday, げつようび














